1 sink_xan_c|Intracellular Constraint::xan_c --> []
637 HCO3_NAt|Transport_ Extracellular_reverse::na1_c+hco3_c --> na1_e+hco3_e
638 HEX1|Glycolysis/Gluconeogenesis::atp_c+glc_D_c --> h_c+adp_c+g6p_c
639 HEX7|Fructose and Mannose Metabolism::atp_c+fru_c --> f6p_c+h_c+adp_c
640 HGNTOR|Tyrosine metabolism::o2_c+hgentis_c --> h_c+4mlacac_c
641 HIBDm|Valine_ Leucine_ and Isoleucine Metabolism::3hmp_m+nad_m --> nadh_m+h_m+2mop_m
642 HIBDm|Valine_ Leucine_ and Isoleucine Metabolism_reverse::nadh_m+h_m+2mop_m --> 3hmp_m+nad_m
643 HISDC|Histidine Metabolism::h_c+his_L_c --> hista_c+co2_c
644 HISTAVESSEC|Transport_ Extracellular::2.0*h2o_c+2.0*atp_c+3.0*hista_c --> 2.0*pi_c+2.0*h_c+2.0*adp_c+3.0*hista_e
645 HISt4|Transport_ Extracellular::na1_e+his_L_e --> na1_c+his_L_c
646 HIStiDF|Transport_ Extracellular::his_L_e --> his_L_c
647 HMBS|Heme Biosynthesis::h2o_c+4.0*ppbng_c --> 4.0*nh4_c+hmbil_c
648 HMGLm|Cholesterol Metabolism::hmgcoa_m --> acac_m+accoa_m
649 HOXG|Heme Degradation::3.0*o2_c+5.0*h_c+pheme_c+3.0*nadph_c --> biliverd_c+3.0*h2o_c+3.0*nadp_c+fe2_c+co_c
650 HPACtr|Transport_ Extracellular::4hphac_c --> 4hphac_e
651 HPACtr|Transport_ Extracellular_reverse::4hphac_e --> 4hphac_c
652 HPETOX|ROS Detoxification::12HPET_c+2.0*gthrd_c --> h2o_c+12harachd_c+gthox_c
653 HPETOX|ROS Detoxification_reverse::h2o_c+12harachd_c+gthox_c --> 12HPET_c+2.0*gthrd_c
654 HXPRT|Salvage Pathway::hxan_c+prpp_c --> ppi_c+imp_c
655 HYXNt|Transport_ Extracellular::hxan_e --> hxan_c
656 HYXNt|Transport_ Extracellular_reverse::hxan_c --> hxan_e
657 Htr|Transport_ Endoplasmic Reticular::h_c --> h_r
658 Htr|Transport_ Endoplasmic Reticular_reverse::h_r --> h_c
659 Htx|Transport_ Peroxisomal::h_c --> h_x
660 Htx|Transport_ Peroxisomal_reverse::h_x --> h_c
661 ICDHxm|Citric Acid Cycle::nad_m+icit_m --> nadh_m+co2_m+akg_m
662 ICDHxm|Citric Acid Cycle_reverse::nadh_m+co2_m+akg_m --> nad_m+icit_m
663 ICDHy|Citric Acid Cycle::nadp_c+icit_c --> co2_c+akg_c+nadph_c
664 ICDHyrm|Citric Acid Cycle::nadp_m+icit_m --> co2_m+akg_m+nadph_m
665 ICDHyrm|Citric Acid Cycle_reverse::co2_m+akg_m+nadph_m --> nadp_m+icit_m
666 ILETA|Valine_ Leucine_ and Isoleucine Metabolism::ile_L_c+akg_c --> 3mop_c+glu_L_c
667 ILETA|Valine_ Leucine_ and Isoleucine Metabolism_reverse::3mop_c+glu_L_c --> ile_L_c+akg_c
668 ILEt4|Transport_ Extracellular::na1_e+ile_L_e --> na1_c+ile_L_c
669 ILEt4|Transport_ Extracellular_reverse::na1_c+ile_L_c --> na1_e+ile_L_e
670 ILEtec|Transport_ Extracellular::ile_L_e --> ile_L_c
671 ILEtec|Transport_ Extracellular_reverse::ile_L_c --> ile_L_e
672 IMPC|IMP Biosynthesis::h2o_c+imp_c --> fprica_c
673 IMPC|IMP Biosynthesis_reverse::fprica_c --> h2o_c+imp_c
674 IMPD|Nucleotides::h2o_c+nad_c+imp_c --> xmp_c+nadh_c+h_c
675 INOSTO|Inositol Phosphate Metabolism::o2_c+inost_c --> glcur_c+h2o_c+h_c
676 INSTt4|Transport_ Extracellular::na1_e+inost_e --> na1_c+inost_c
677 INSTt4|Transport_ Extracellular_reverse::na1_c+inost_c --> na1_e+inost_e
678 INSTt4_2|Transport_ Extracellular::2.0*na1_e+inost_e --> 2.0*na1_c+inost_c
679 INSTt4_2|Transport_ Extracellular_reverse::2.0*na1_c+inost_c --> 2.0*na1_e+inost_e
680 KAS8|Fatty acid elongation::7.0*malcoa_c+accoa_c+20.0*h_c+14.0*nadph_c --> 6.0*h2o_c+14.0*nadp_c+8.0*coa_c+hdca_c+7.0*co2_c
681 KHK|Fructose and Mannose Metabolism::atp_c+fru_c --> f1p_c+h_c+adp_c
682 L_LACt2r|Transport_ Extracellular::lac_L_e+h_e --> lac_L_c+h_c
683 L_LACt2r|Transport_ Extracellular_reverse::lac_L_c+h_c --> lac_L_e+h_e
684 LALDO2|Pyruvate Metabolism::h_c+mthgxl_c+nadph_c --> lald_D_c+nadp_c
685 LALDO2x|Pyruvate Metabolism::nadh_c+h_c+mthgxl_c --> lald_D_c+nad_c
686 LCADi|Pyruvate Metabolism::h2o_c+lald_L_c+nad_c --> nadh_c+lac_L_c+2.0*h_c
687 LCADi_D|Pyruvate Metabolism::h2o_c+lald_D_c+nad_c --> nadh_c+lac_D_c+2.0*h_c
688 LDH_D|Pyruvate Metabolism::nad_c+lac_D_c --> pyr_c+nadh_c+h_c
689 LDH_D|Pyruvate Metabolism_reverse::pyr_c+nadh_c+h_c --> nad_c+lac_D_c
690 LDH_L|Glycolysis/Gluconeogenesis::nad_c+lac_L_c --> pyr_c+nadh_c+h_c
691 LDH_L|Glycolysis/Gluconeogenesis_reverse::pyr_c+nadh_c+h_c --> nad_c+lac_L_c
692 LEUKTRA4tr|Transport_ Endoplasmic Reticular::leuktrA4_c --> leuktrA4_r
693 LEUKTRA4tr|Transport_ Endoplasmic Reticular_reverse::leuktrA4_r --> leuktrA4_c
694 LEUKTRD4tr|Transport_ Endoplasmic Reticular::leuktrD4_c --> leuktrD4_r
695 LEUKTRD4tr|Transport_ Endoplasmic Reticular_reverse::leuktrD4_r --> leuktrD4_c
696 LEUKTRF4t|Transport_ Extracellular::leuktrF4_e --> leuktrF4_c
697 LEUKTRF4t|Transport_ Extracellular_reverse::leuktrF4_c --> leuktrF4_e
698 LEUt4|Transport_ Extracellular::na1_e+leu_L_e --> na1_c+leu_L_c
699 LEUt4|Transport_ Extracellular_reverse::na1_c+leu_L_c --> na1_e+leu_L_e
700 LGTHL|Pyruvate Metabolism::mthgxl_c+gthrd_c --> lgt_S_c
701 LNLCCPT1|Carnitine shuttle::crn_c+lnlccoa_c --> coa_c+lnlccrn_c
702 LNLCCPT2|Carnitine shuttle::coa_m+lnlccrn_m --> crn_m+lnlccoa_m
703 LNLCCRNt|Carnitine shuttle::lnlccrn_c --> lnlccrn_m
704 LNLCt|Transport_ Extracellular::lnlc_e --> lnlc_c
705 LNLCt|Transport_ Extracellular_reverse::lnlc_c --> lnlc_e
706 LSOProd|ROS Detoxification::o2_m+focytC_m --> o2s_m+ficytC_m
707 LTC4Sr|Eicosanoid Metabolism::leuktrA4_r+gthrd_r --> leuktrC4_r
708 LTD4DP|Eicosanoid Metabolism::h2o_c+leuktrD4_c --> gly_c+leuktrE4_c
709 LTD4DP|Eicosanoid Metabolism_reverse::gly_c+leuktrE4_c --> h2o_c+leuktrD4_c
710 LTDCL|Tryptophan metabolism::trp_L_c+h_c --> co2_c+trypta_c
711 LYSt4|Transport_ Extracellular::na1_e+lys_L_e --> na1_c+lys_L_c
712 LYStiDF|Transport_ Extracellular::lys_L_e --> lys_L_c
713 LYStm|Transport_ Mitochondrial::lys_L_c+h_m --> lys_L_m+h_c
714 LYStm|Transport_ Mitochondrial_reverse::lys_L_m+h_c --> lys_L_c+h_m
715 MACACI|Tyrosine metabolism::4mlacac_c --> 4fumacac_c
716 MALSO3tm|Transport_ Mitochondrial::mal_L_c+so3_m --> mal_L_m+so3_c
717 MALSO3tm|Transport_ Mitochondrial_reverse::mal_L_m+so3_c --> mal_L_c+so3_m
718 MALTSULtm|Transport_ Mitochondrial::mal_L_c+tsul_m --> mal_L_m+tsul_c
719 MALTSULtm|Transport_ Mitochondrial_reverse::mal_L_m+tsul_c --> mal_L_c+tsul_m
720 MALtm|Transport_ Mitochondrial::mal_L_c+pi_m --> mal_L_m+pi_c
721 MALtm|Transport_ Mitochondrial_reverse::mal_L_m+pi_c --> mal_L_c+pi_m
722 MCCCrm|Valine_ Leucine_ and Isoleucine Metabolism::atp_m+hco3_m+3mb2coa_m --> 3mgcoa_m+pi_m+h_m+adp_m
723 MCCCrm|Valine_ Leucine_ and Isoleucine Metabolism_reverse::3mgcoa_m+pi_m+h_m+adp_m --> atp_m+hco3_m+3mb2coa_m
724 MCPST|Cysteine Metabolism::cyan_c+mercppyr_c --> pyr_c+tcynt_c+h_c
725 MDH|Citric Acid Cycle::mal_L_c+nad_c --> nadh_c+oaa_c+h_c
726 MDH|Citric Acid Cycle_reverse::nadh_c+oaa_c+h_c --> mal_L_c+nad_c
727 MDHm|Citric Acid Cycle::mal_L_m+nad_m --> nadh_m+oaa_m+h_m
728 MDHm|Citric Acid Cycle_reverse::nadh_m+oaa_m+h_m --> mal_L_m+nad_m
729 ME1m|Pyruvate Metabolism::mal_L_m+nad_m --> nadh_m+pyr_m+co2_m
730 ME2m|Pyruvate Metabolism::mal_L_m+nadp_m --> pyr_m+co2_m+nadph_m
731 METAT|Methionine Metabolism::h2o_c+atp_c+met_L_c --> amet_c+ppi_c+pi_c
732 METLEUex|Transport_ Extracellular::leu_L_c+met_L_e --> leu_L_e+met_L_c
733 METLEUex|Transport_ Extracellular_reverse::leu_L_e+met_L_c --> leu_L_c+met_L_e
734 METt4|Transport_ Extracellular::na1_e+met_L_e --> na1_c+met_L_c
735 METt4|Transport_ Extracellular_reverse::na1_c+met_L_c --> na1_e+met_L_e
736 METtec|Transport_ Extracellular::met_L_e --> met_L_c
737 METtec|Transport_ Extracellular_reverse::met_L_c --> met_L_e
738 MGCHrm|Valine_ Leucine_ and Isoleucine Metabolism::h2o_m+3mgcoa_m --> hmgcoa_m
739 MGCHrm|Valine_ Leucine_ and Isoleucine Metabolism_reverse::hmgcoa_m --> h2o_m+3mgcoa_m
740 MGSA|Pyruvate Metabolism::dhap_c --> pi_c+mthgxl_c
741 MGSA2|Pyruvate Metabolism::g3p_c --> pi_c+mthgxl_c
742 MI145PP|Inositol Phosphate Metabolism::h2o_c+mi145p_c --> pi_c+mi14p_c
743 MI14PP|Inositol Phosphate Metabolism::h2o_c+mi14p_c --> mi4p_D_c+pi_c
744 MI1PP|Inositol Phosphate Metabolism::mi1p_D_c+h2o_c --> inost_c+pi_c
745 MI4PP|Inositol Phosphate Metabolism::h2o_c+mi4p_D_c --> inost_c+pi_c
746 MMEm|Valine_ Leucine_ and Isoleucine Metabolism::mmcoa_R_m --> mmcoa_S_m
747 MMEm|Valine_ Leucine_ and Isoleucine Metabolism_reverse::mmcoa_S_m --> mmcoa_R_m
748 MMMm|Valine_ Leucine_ and Isoleucine Metabolism::mmcoa_R_m --> succoa_m
749 MMMm|Valine_ Leucine_ and Isoleucine Metabolism_reverse::succoa_m --> mmcoa_R_m
750 MMSAD3m|Propanoate Metabolism::coa_m+nad_m+msa_m --> nadh_m+accoa_m+co2_m
751 MMTSADm|Valine_ Leucine_ and Isoleucine Metabolism::coa_m+nad_m+2mop_m --> nadh_m+mmcoa_R_m+h_m
752 MTHFC|Folate Metabolism::h2o_c+methf_c --> 10fthf_c+h_c
753 MTHFC|Folate Metabolism_reverse::10fthf_c+h_c --> h2o_c+methf_c
754 MTHFCm|Folate Metabolism::h2o_m+methf_m --> 10fthf_m+h_m
755 MTHFCm|Folate Metabolism_reverse::10fthf_m+h_m --> h2o_m+methf_m
756 MTHFD|Folate Metabolism::mlthf_c+nadp_c --> methf_c+nadph_c
757 MTHFD|Folate Metabolism_reverse::methf_c+nadph_c --> mlthf_c+nadp_c
758 MTHFD2m|Folate Metabolism::nad_m+mlthf_m --> nadh_m+methf_m
759 MTHFD2m|Folate Metabolism_reverse::nadh_m+methf_m --> nad_m+mlthf_m
760 MTHFDm|Folate Metabolism::nadp_m+mlthf_m --> methf_m+nadph_m
761 MTHFDm|Folate Metabolism_reverse::methf_m+nadph_m --> nadp_m+mlthf_m
762 MTHFR3|Folate Metabolism::mlthf_c+2.0*h_c+nadph_c --> nadp_c+5mthf_c
763 NADH2_u10m|Oxidative Phosphorylation::nadh_m+5.0*h_m+q10_m --> nad_m+4.0*h_c+q10h2_m
764 NADN|NAD Metabolism::h2o_c+nad_c --> adprib_c+ncam_c+h_c
765 NADNe|NAD Metabolism::h2o_e+nad_e --> adprib_e+ncam_e+h_e
766 NADPHtru|Transport_ Endoplasmic Reticular::nadph_c --> nadph_r
767 NADPtru|Transport_ Endoplasmic Reticular::nadp_r --> nadp_c
768 NDP3ex|Nucleotides::h2o_e+gdp_e --> pi_e+h_e+gmp_e
769 NDPK1|Nucleotides::gdp_c+atp_c --> gtp_c+adp_c
770 NDPK1|Nucleotides_reverse::gtp_c+adp_c --> gdp_c+atp_c
771 NDPK1m|Nucleotides::atp_m+gdp_m --> gtp_m+adp_m
772 NDPK1m|Nucleotides_reverse::gtp_m+adp_m --> atp_m+gdp_m
773 NDPK2|Nucleotides::atp_c+udp_c --> utp_c+adp_c
774 NDPK2|Nucleotides_reverse::utp_c+adp_c --> atp_c+udp_c
775 NDPK3|Nucleotides::atp_c+cdp_c --> ctp_c+adp_c
776 NDPK3|Nucleotides_reverse::ctp_c+adp_c --> atp_c+cdp_c
777 NMNATr|NAD Metabolism::nmn_c+atp_c+h_c --> ppi_c+nad_c
778 NMNATr|NAD Metabolism_reverse::ppi_c+nad_c --> nmn_c+atp_c+h_c
779 NORANMT|Tyrosine metabolism::amet_c+nrpphr_c --> h_c+adrnl_c+ahcys_c
780 NOS1|Proline Metabolism::o2_c+h_c+arg_L_c+nadph_c --> h2o_c+nwharg_c+nadp_c
781 NOS2|Proline Metabolism::2.0*o2_c+2.0*nwharg_c+nadph_c --> 2.0*h2o_c+nadp_c+2.0*no_c+2.0*citr_L_c+h_c
782 NOt|Transport_ Extracellular::no_e --> no_c
783 NOt|Transport_ Extracellular_reverse::no_c --> no_e
784 NRPPHRSFt|Transport_ Extracellular::nrpphrsf_c --> nrpphrsf_e
785 NRPPHRSULT|Tyrosine metabolism::nrpphr_c+paps_c --> pap_c+nrpphrsf_c+h_c
786 NTD10|Nucleotides::h2o_c+xmp_c --> xtsn_c+pi_c
787 NTD11|Purine Catabolism::h2o_c+imp_c --> ins_c+pi_c
788 NTD2|Pyrimidine Catabolism::ump_c+h2o_c --> uri_c+pi_c
789 NTD4|Pyrimidine Catabolism::cmp_c+h2o_c --> pi_c+cytd_c
790 NTD7e|Nucleotides::h2o_e+amp_e --> pi_e+adn_e
791 NTD9e|Nucleotides::h2o_e+gmp_e --> gsn_e+pi_e
792 NaKt|Transport_ Extracellular::3.0*na1_c+h2o_c+atp_c+2.0*k_e --> 3.0*na1_e+pi_c+h_c+adp_c+2.0*k_c
793 O2St|Transport_ Extracellular::o2s_c --> o2s_e
794 O2St|Transport_ Extracellular_reverse::o2s_e --> o2s_c
795 O2Stm|Transport_ Mitochondrial::o2s_c --> o2s_m
796 O2Stm|Transport_ Mitochondrial_reverse::o2s_m --> o2s_c
797 O2Stx|Transport_ Peroxisomal::o2s_c --> o2s_x
798 O2Stx|Transport_ Peroxisomal_reverse::o2s_x --> o2s_c
799 O2t|Transport_ Extracellular::o2_e --> o2_c
800 O2t|Transport_ Extracellular_reverse::o2_c --> o2_e
801 O2ter|Transport_ Endoplasmic Reticular::o2_c --> o2_r
802 O2ter|Transport_ Endoplasmic Reticular_reverse::o2_r --> o2_c
803 O2tm|Transport_ Mitochondrial::o2_c --> o2_m
804 O2tm|Transport_ Mitochondrial_reverse::o2_m --> o2_c
805 OCBTm|Urea cycle/amino group metabolism::cbp_m+orn_m --> pi_m+citr_L_m+h_m
806 OCDCAtr|Transport_ Extracellular::ocdca_e --> ocdca_c
807 OCDCAtr|Transport_ Extracellular_reverse::ocdca_c --> ocdca_e
808 OCDCEAtr|Transport_ Extracellular::ocdcea_e --> ocdcea_c
809 OCDCEAtr|Transport_ Extracellular_reverse::ocdcea_c --> ocdcea_e
810 OCOAT1m|Valine_ Leucine_ and Isoleucine Metabolism::acac_m+succoa_m --> succ_m+aacoa_m
811 OCOAT1m|Valine_ Leucine_ and Isoleucine Metabolism_reverse::succ_m+aacoa_m --> acac_m+succoa_m
812 OIVD1m|Valine_ Leucine_ and Isoleucine Metabolism::4mop_m+coa_m+nad_m --> nadh_m+ivcoa_m+co2_m
813 OIVD2m|Valine_ Leucine_ and Isoleucine Metabolism::coa_m+nad_m+3mob_m --> nadh_m+ibcoa_m+co2_m
814 OIVD3m|Valine_ Leucine_ and Isoleucine Metabolism::coa_m+nad_m+3mop_m --> nadh_m+co2_m+2mbcoa_m
815 OPAHir|Glutathione Metabolism::2.0*h2o_c+5oxpro_c+atp_c --> pi_c+h_c+glu_L_c+adp_c
816 ORNTArm|Urea cycle/amino group metabolism::akg_m+orn_m --> glu_L_m+glu5sa_m
817 ORNTArm|Urea cycle/amino group metabolism_reverse::glu_L_m+glu5sa_m --> akg_m+orn_m
818 ORNt3m|Transport_ Mitochondrial::h_c+orn_m --> h_m+orn_c
819 ORNt3m|Transport_ Mitochondrial_reverse::h_m+orn_c --> h_c+orn_m
820 ORNt4m|Transport_ Mitochondrial::citr_L_c+h_c+orn_m --> citr_L_m+h_m+orn_c
821 ORNt4m|Transport_ Mitochondrial_reverse::citr_L_m+h_m+orn_c --> citr_L_c+h_c+orn_m
822 ORNtiDF|Transport_ Extracellular::orn_e --> orn_c
823 P5CRm|Proline Metabolism::1pyr5c_m+2.0*h_m+nadph_m --> pro_L_m+nadp_m
824 P5CRxm|Proline Metabolism::nadh_m+1pyr5c_m+2.0*h_m --> pro_L_m+nad_m
825 PACCOAL|Phenylalanine metabolism::pac_c+coa_c+atp_c --> phaccoa_c+ppi_c+amp_c
826 PDE1|Nucleotides::h2o_c+camp_c --> h_c+amp_c
827 PDE4|Nucleotides::35cgmp_c+h2o_c --> h_c+gmp_c
828 PDHm|Glycolysis/Gluconeogenesis::coa_m+nad_m+pyr_m --> nadh_m+accoa_m+co2_m
829 PEAMNO|Phenylalanine metabolism::o2_c+h2o_c+peamn_c --> h2o2_c+nh4_c+pacald_c
830 PFK|Glycolysis/Gluconeogenesis::f6p_c+atp_c --> h_c+adp_c+fdp_c
831 PFK26|Fructose and Mannose Metabolism::f6p_c+atp_c --> h_c+adp_c+f26bp_c
832 PGDI|Eicosanoid Metabolism::prostgh2_c --> prostgd2_c
833 PGDI|Eicosanoid Metabolism_reverse::prostgd2_c --> prostgh2_c
834 PGI|Glycolysis/Gluconeogenesis::g6p_c --> f6p_c
835 PGI|Glycolysis/Gluconeogenesis_reverse::f6p_c --> g6p_c
836 PGK|Glycolysis/Gluconeogenesis::atp_c+3pg_c --> 13dpg_c+adp_c
837 PGK|Glycolysis/Gluconeogenesis_reverse::13dpg_c+adp_c --> atp_c+3pg_c
838 PGL|Pentose Phosphate Pathway::h2o_c+6pgl_c --> 6pgc_c+h_c
839 PGM|Glycolysis/Gluconeogenesis::2pg_c --> 3pg_c
840 PGM|Glycolysis/Gluconeogenesis_reverse::3pg_c --> 2pg_c
841 PGMT|Glycolysis/Gluconeogenesis::g1p_c --> g6p_c
842 PGMT|Glycolysis/Gluconeogenesis_reverse::g6p_c --> g1p_c
843 PGS|Eicosanoid Metabolism::2.0*o2_c+h_c+arachd_c+nadph_c --> h2o_c+prostgh2_c+nadp_c
844 PGS_COX|Eicosanoid Metabolism::2.0*o2_c+h_c+arachd_c --> prostgg2_c
845 PGS_PO|Eicosanoid Metabolism::prostgg2_c+nadph_c --> h2o_c+prostgh2_c+nadp_c
846 PGSr|Eicosanoid Metabolism::2.0*o2_r+h_r+arachd_r+nadph_r --> h2o_r+nadp_r+prostgh2_r
847 PHACCOAGLNAC|Phenylalanine metabolism::gln_L_c+phaccoa_c --> coa_c+pheacgln_c
848 PHEACGLNt|Transport_ Extracellular::pheacgln_c --> pheacgln_e
849 PHEACGLNt|Transport_ Extracellular_reverse::pheacgln_e --> pheacgln_c
850 PHEMEt|Transport_ Extracellular::pheme_e --> pheme_c
851 PHEMEt|Transport_ Extracellular_reverse::pheme_c --> pheme_e
852 PHEMEtm|Transport_ Mitochondrial::pheme_m --> pheme_c
853 PHEMEtm|Transport_ Mitochondrial_reverse::pheme_c --> pheme_m
854 PHEt4|Transport_ Extracellular::na1_e+phe_L_e --> na1_c+phe_L_c
855 PHEt4|Transport_ Extracellular_reverse::na1_c+phe_L_c --> na1_e+phe_L_e
856 PHEtec|Transport_ Extracellular::phe_L_e --> phe_L_c
857 PHEtec|Transport_ Extracellular_reverse::phe_L_c --> phe_L_e
858 PHYCBOXL|Phenylalanine metabolism::phe_L_c+h_c --> peamn_c+co2_c
859 PIt2m_2|Transport_ Extracellular::pi_c+2.0*h_c --> pi_m+2.0*h_m
860 PIt2m_2|Transport_ Extracellular_reverse::pi_m+2.0*h_m --> pi_c+2.0*h_c
861 PIter|Transport_ Endoplasmic Reticular::pi_r --> pi_c
862 PIter|Transport_ Endoplasmic Reticular_reverse::pi_c --> pi_r
863 PNP|NAD Metabolism::rnam_c+pi_c --> ncam_c+r1p_c+h_c
864 PNP|NAD Metabolism_reverse::ncam_c+r1p_c+h_c --> rnam_c+pi_c
865 PPA|Oxidative Phosphorylation::h2o_c+ppi_c --> 2.0*pi_c+h_c
866 PPBNGS|Heme Biosynthesis::2.0*5aop_c --> 2.0*h2o_c+ppbng_c+h_c
867 PPCOACm|Valine_ Leucine_ and Isoleucine Metabolism::atp_m+hco3_m+ppcoa_m --> pi_m+h_m+adp_m+mmcoa_S_m
868 PPDOx|Pyruvate Metabolism::lald_D_c+nadh_c+h_c --> nad_c+12ppd_R_c
869 PPDOx|Pyruvate Metabolism_reverse::nad_c+12ppd_R_c --> lald_D_c+nadh_c+h_c
870 PPDOy|Pyruvate Metabolism::lald_D_c+h_c+nadph_c --> nadp_c+12ppd_R_c
871 PPM|Pentose Phosphate Pathway::r1p_c --> r5p_c
872 PPM|Pentose Phosphate Pathway_reverse::r5p_c --> r1p_c
873 PPPG9tm|Heme Biosynthesis::pppg9_c --> pppg9_m
874 PPPG9tm|Heme Biosynthesis_reverse::pppg9_m --> pppg9_c
875 PPPGOm|Heme Biosynthesis::3.0*o2_m+2.0*pppg9_m --> 6.0*h2o_m+2.0*ppp9_m
876 PRAGSr|IMP Biosynthesis::pram_c+atp_c+gly_c --> pi_c+gar_c+h_c+adp_c
877 PRAGSr|IMP Biosynthesis_reverse::pi_c+gar_c+h_c+adp_c --> pram_c+atp_c+gly_c
878 PRAIS|IMP Biosynthesis::atp_c+fpram_c --> pi_c+2.0*h_c+adp_c+air_c
879 PRASCS|IMP Biosynthesis::5aizc_c+atp_c+asp_L_c --> pi_c+h_c+adp_c+25aics_c
880 PRASCS|IMP Biosynthesis_reverse::pi_c+h_c+adp_c+25aics_c --> 5aizc_c+atp_c+asp_L_c
881 PRDX|Miscellaneous::h2o2_c+meoh_c --> fald_c+2.0*h2o_c
882 PRFGS|IMP Biosynthesis::gln_L_c+h2o_c+fgam_c+atp_c --> pi_c+h_c+glu_L_c+adp_c+fpram_c
883 PROSTGD2t|Transport_ Extracellular::hco3_c+prostgd2_e --> hco3_e+prostgd2_c
884 PROSTGD2t|Transport_ Extracellular_reverse::hco3_e+prostgd2_c --> hco3_c+prostgd2_e
885 PROt4_2r|Transport_ Extracellular::2.0*na1_e+pro_L_e --> 2.0*na1_c+pro_L_c
886 PROt4_2r|Transport_ Extracellular_reverse::2.0*na1_c+pro_L_c --> 2.0*na1_e+pro_L_e
887 PROtm|Transport_ Mitochondrial::pro_L_c --> pro_L_m
888 PROtm|Transport_ Mitochondrial_reverse::pro_L_m --> pro_L_c
889 PRPPS|Pentose Phosphate Pathway::atp_c+r5p_c --> prpp_c+h_c+amp_c
890 PRPPS|Pentose Phosphate Pathway_reverse::prpp_c+h_c+amp_c --> atp_c+r5p_c
891 PUNP1|Nucleotides::adn_c+pi_c --> r1p_c+ade_c
892 PUNP1|Nucleotides_reverse::r1p_c+ade_c --> adn_c+pi_c
893 PUNP2|Purine Catabolism::dad_2_c+pi_c --> 2dr1p_c+ade_c
894 PUNP2|Purine Catabolism_reverse::2dr1p_c+ade_c --> dad_2_c+pi_c
895 PUNP3|Purine Catabolism::pi_c+gsn_c --> gua_c+r1p_c
896 PUNP3|Purine Catabolism_reverse::gua_c+r1p_c --> pi_c+gsn_c
897 PUNP5|Purine Catabolism::ins_c+pi_c --> hxan_c+r1p_c
898 PUNP5|Purine Catabolism_reverse::hxan_c+r1p_c --> ins_c+pi_c
899 PUNP6|Purine Catabolism::pi_c+din_c --> hxan_c+2dr1p_c
900 PUNP6|Purine Catabolism_reverse::hxan_c+2dr1p_c --> pi_c+din_c
901 PUNP7|Nucleotides::xtsn_c+pi_c --> r1p_c+xan_c
902 PUNP7|Nucleotides_reverse::r1p_c+xan_c --> xtsn_c+pi_c
903 PYK|Glycolysis/Gluconeogenesis::pep_c+h_c+adp_c --> pyr_c+atp_c
904 PYNP2r|Pyrimidine Catabolism::uri_c+pi_c --> ura_c+r1p_c
905 PYNP2r|Pyrimidine Catabolism_reverse::ura_c+r1p_c --> uri_c+pi_c
906 PYRt2r|Transport_ Extracellular::pyr_e+h_e --> pyr_c+h_c
907 PYRt2r|Transport_ Extracellular_reverse::pyr_c+h_c --> pyr_e+h_e
908 RNMK|NAD Metabolism::rnam_c+atp_c --> nmn_c+h_c+adp_c
909 RPI|Pentose Phosphate Pathway::r5p_c --> ru5p_D_c
910 RPI|Pentose Phosphate Pathway_reverse::ru5p_D_c --> r5p_c
911 SACCD3m|Lysine Metabolism::lys_L_m+h_m+akg_m+nadph_m --> h2o_m+nadp_m+saccrp_L_m
912 SACCD4m|Lysine Metabolism::h2o_m+nadp_m+saccrp_L_m --> L2aadp6sa_m+glu_L_m+h_m+nadph_m
913 SADT|Nucleotides::so4_c+atp_c+h_c --> ppi_c+aps_c
914 SARDHm|Urea cycle/amino group metabolism::fad_m+sarcs_m+thf_m --> mlthf_m+gly_m+fadh2_m
915 SBTD_D2|Fructose and Mannose Metabolism::nad_c+sbt_D_c --> nadh_c+fru_c+h_c
916 SBTR|Fructose and Mannose Metabolism::glc_D_c+h_c+nadph_c --> nadp_c+sbt_D_c
917 SERGLNexR|Transport_ Extracellular::gln_L_c+ser_L_e --> gln_L_e+ser_L_c
918 SERGLNexR|Transport_ Extracellular_reverse::gln_L_e+ser_L_c --> gln_L_c+ser_L_e
919 SFGTH|Tyrosine metabolism::h2o_c+Sfglutth_c --> for_c+h_c+gthrd_c
920 SFGTH|Tyrosine metabolism_reverse::for_c+h_c+gthrd_c --> h2o_c+Sfglutth_c
921 SMPD4|Sphingolipid Metabolism::h2o_c+spc_hs_c --> sphings_c+cholp_c+h_c
922 SO4CLtex2|Transport_ Extracellular::2.0*so4_e+cl_c --> 2.0*so4_c+cl_e
923 SO4CLtex2|Transport_ Extracellular_reverse::2.0*so4_c+cl_e --> 2.0*so4_e+cl_c
924 SO4HCOtex|Transport_ Extracellular::so4_e+2.0*hco3_c --> so4_c+2.0*hco3_e
925 SO4HCOtex|Transport_ Extracellular_reverse::so4_c+2.0*hco3_e --> so4_e+2.0*hco3_c
926 SO4t4_2|Transport_ Extracellular::2.0*na1_e+so4_e --> 2.0*na1_c+so4_c
927 SO4t4_2|Transport_ Extracellular_reverse::2.0*na1_c+so4_c --> 2.0*na1_e+so4_e
928 SO4t4_3|Transport_ Extracellular::3.0*na1_e+so4_e --> 3.0*na1_c+so4_c
929 SO4t4_3|Transport_ Extracellular_reverse::3.0*na1_c+so4_c --> 3.0*na1_e+so4_e
930 SPC_HSt|Transport_ Extracellular::spc_hs_c --> spc_hs_e
